take_id,frame_count,annotation_override_frames,detector_evaluated_frames,detector_hand_present_frames,detector_hand_missing_frames,unannotated_frames,reference_error_frames,detector_elapsed_ms,elapsed_wall_time_s,worker_pid
P03_WHITE_E_take_0010,182,57,125,125,0,0,0,4249.991299998328,4.606417699999838,26520
P03_WHITE_I_take_0001,182,47,135,135,0,0,0,4472.672899998088,4.853518899999926,22812
P03_WHITE_I_take_0002,182,40,142,142,0,0,0,4981.493399998726,5.394754999999805,26504
P03_WHITE_I_take_0003,182,44,138,138,0,0,0,5082.368899998983,5.484402399999908,23684
P03_WHITE_I_take_0004,182,41,141,141,0,0,0,4780.129800000395,5.159420899999986,23020
P03_WHITE_I_take_0005,181,52,129,129,0,0,0,4468.741300001511,4.849986400000034,22812
P03_WHITE_I_take_0006,182,52,130,130,0,0,0,4427.3485000026085,4.803715900000043,5692
P03_WHITE_I_take_0007,182,59,123,123,0,0,0,4408.987600002092,4.758111799999824,18664
P03_WHITE_I_take_0008,182,62,120,118,2,0,0,4597.723799997766,4.920850500000142,30392
P03_WHITE_I_take_0009,182,63,119,119,0,0,0,4027.621700000509,4.36036439999998,23252
P03_WHITE_I_take_0010,181,59,122,122,0,0,0,4237.8322999988995,4.570130800000243,26504
P03_WHITE_L_take_0001,182,55,127,127,0,0,0,4283.80990000278,4.6328292000002875,24320
P03_WHITE_L_take_0002,182,57,125,125,0,0,0,4202.307500002007,4.564317200000005,13740
P03_WHITE_L_take_0003,182,54,128,128,0,0,0,4286.195099999986,4.650412299999971,16028
P03_WHITE_L_take_0004,182,49,133,133,0,0,0,4649.785200000679,5.047512200000256,19472
P03_WHITE_L_take_0005,181,61,120,120,0,0,0,4058.633900001041,4.381592499999897,23684
P03_WHITE_L_take_0006,181,53,128,128,0,0,0,4411.421300001166,4.798050999999759,23020
P03_WHITE_L_take_0007,181,45,136,136,0,0,0,4644.750099996145,5.023573099999794,5692
P03_WHITE_L_take_0008,182,49,133,133,0,0,0,4546.010699998078,4.929247799999757,25208
P03_WHITE_L_take_0009,181,50,131,131,0,0,0,4639.214200000424,5.0353282999999465,18664
P03_WHITE_L_take_0010,181,51,130,130,0,0,0,4665.856499998426,5.028428000000076,30392
P03_WHITE_M_take_0001,182,51,131,131,0,0,0,4474.95889999982,4.836283099999946,7280
P03_WHITE_M_take_0002,182,54,128,128,0,0,0,4346.295399995142,4.692019600000094,27164
P03_WHITE_M_take_0003,182,49,133,133,0,0,0,4548.484599998574,4.94471139999996,26520
P03_WHITE_M_take_0004,182,55,127,125,2,0,0,4479.499099997156,4.859633199999735,22812
P03_WHITE_M_take_0005,182,49,133,133,0,0,0,4646.710400002121,5.027217800000017,26504
P03_WHITE_M_take_0006,182,68,114,114,0,0,0,4490.537799999402,4.801765399999567,23684
P03_WHITE_M_take_0007,181,66,115,115,0,0,0,3992.4054999974032,4.322697999999946,23252
P03_WHITE_M_take_0008,181,57,124,124,0,0,0,4347.06129999995,4.693918499999654,24320
P03_WHITE_M_take_0009,181,54,127,127,0,0,0,4344.862399999329,4.7034239999998135,16028
P03_WHITE_M_take_0010,181,58,123,117,6,0,0,5465.247199998885,5.79636709999977,19472
P03_WHITE_N_take_0001,180,51,129,129,0,0,0,4356.320399999731,4.731392099999994,18664
P03_WHITE_N_take_0002,180,49,131,131,0,0,0,4325.929300005555,4.720287399999961,30392
P03_WHITE_N_take_0003,181,45,136,136,0,0,0,4680.024799999956,5.082573499999853,13740
P03_WHITE_N_take_0004,181,61,120,120,0,0,0,3950.0043999983063,4.265932799999973,25208
P03_WHITE_N_take_0005,181,55,126,125,1,0,0,4441.557499997543,4.791293900000255,7280
P03_WHITE_N_take_0006,181,73,108,108,0,0,0,3628.450800000337,3.9180662000003394,27164
P03_WHITE_N_take_0007,181,55,126,126,0,0,0,4787.039799998638,5.137293299999783,26520
P03_WHITE_N_take_0008,181,57,124,124,0,0,0,4243.397100001403,4.61133800000016,22812
P03_WHITE_N_take_0009,182,52,130,130,0,0,0,4329.571800000849,4.726174599999922,23020
P03_WHITE_N_take_0010,182,70,112,112,0,0,0,3842.5021000002744,4.166639000000032,5692
P03_WHITE_O_take_0001,182,52,130,130,0,0,0,4371.704400000908,4.73321470000019,18664
P03_WHITE_O_take_0002,182,48,134,134,0,0,0,4640.109100004793,5.0305386,30392
P03_WHITE_O_take_0003,182,66,116,116,0,0,0,3936.8447999977434,4.275877999999921,23252
P03_WHITE_O_take_0004,182,51,131,131,0,0,0,4344.768499998736,4.707540999999765,24320
P03_WHITE_O_take_0005,182,55,127,127,0,0,0,4358.519000002616,4.720364400000108,13740
P03_WHITE_O_take_0006,180,58,122,122,0,0,0,4164.1025000008085,4.5158720000004,23252
P03_WHITE_O_take_0007,182,59,123,123,0,0,0,4117.180900000221,4.4986854000003405,16028
P03_WHITE_O_take_0008,181,58,123,123,0,0,0,4132.316400000491,4.467850499999713,26504
P03_WHITE_O_take_0009,181,55,126,126,0,0,0,4297.934000002897,4.6629588000000695,23684
P03_WHITE_O_take_0010,179,54,125,125,0,0,0,4211.466299997937,4.622766700000284,23252
P03_WHITE_P_take_0001,182,54,128,128,0,0,0,4244.693900001494,4.618457000000035,19472
P03_WHITE_P_take_0002,181,70,111,111,0,0,0,3767.5105999987863,4.062690499999917,23020
P03_WHITE_P_take_0003,180,56,124,124,0,0,0,4216.566600008264,4.573965199999748,24320
P03_WHITE_P_take_0004,178,48,130,130,0,0,0,4449.403900000561,4.890664399999878,27164
P03_WHITE_P_take_0005,180,49,131,131,0,0,0,4432.917099996757,4.809309600000233,16028
P03_WHITE_P_take_0006,173,55,118,118,0,0,0,3936.2512000002425,4.250596999999743,27164
P03_WHITE_P_take_0007,179,66,113,113,0,0,0,3822.4222999983795,4.216778100000283,24320
P03_WHITE_P_take_0008,179,54,125,125,0,0,0,4248.959700000341,4.686000499999864,16028
P03_WHITE_P_take_0009,171,44,127,127,0,0,0,4542.184300000827,4.8521388999997725,7280
P03_WHITE_P_take_0010,180,50,130,130,0,0,0,4422.014599996601,4.797867199999928,19472
P03_WHITE_R_take_0001,179,66,113,113,0,0,0,3788.324500001636,4.167895800000224,19472
P03_WHITE_R_take_0002,181,55,126,126,0,0,0,4338.821700000153,4.686944200000198,5692
P03_WHITE_R_take_0003,178,55,123,123,0,0,0,4188.083299998652,4.5844952000002195,26520
P03_WHITE_R_take_0004,179,61,118,118,0,0,0,3888.7159000018983,4.300827399999889,25208
P03_WHITE_R_take_0005,180,54,126,126,0,0,0,4307.093599997643,4.68964219999998,25208
P03_WHITE_R_take_0006,179,54,125,125,0,0,0,4198.574400002144,4.60964469999999,7280
P03_WHITE_R_take_0007,178,48,130,130,0,0,0,4693.354000003183,5.100261799999771,22812
P03_WHITE_R_take_0008,181,61,120,120,0,0,0,4003.5653000027196,4.342799999999897,18664
P03_WHITE_R_take_0009,181,49,132,132,0,0,0,4438.899199999923,4.799763500000154,30392
P03_WHITE_R_take_0010,181,55,126,126,0,0,0,4268.083700003899,4.628719499999988,23252
P03_WHITE_S_take_0001,182,58,124,124,0,0,0,4118.428499999027,4.480492099999992,25208
P03_WHITE_S_take_0002,182,65,117,117,0,0,0,3945.7190000021,4.288581100000101,7280
P03_WHITE_S_take_0003,181,53,128,128,0,0,0,4382.271799998307,4.756959199999983,24320
P03_WHITE_S_take_0004,181,44,137,137,0,0,0,4732.302000000345,5.1151701999997385,16028
P03_WHITE_S_take_0005,181,38,143,143,0,0,0,4855.030100000022,5.263675199999852,19472
P03_WHITE_S_take_0006,181,62,119,119,0,0,0,3978.9408999968146,4.310832399999981,13740
P03_WHITE_S_take_0007,182,59,123,123,0,0,0,4630.295000001752,4.980656199999885,27164
P03_WHITE_S_take_0008,181,65,116,116,0,0,0,3920.513099996697,4.245439199999964,25208
P03_WHITE_S_take_0009,181,63,118,118,0,0,0,4025.8871000028194,4.352759500000047,7280
P03_WHITE_S_take_0010,182,56,126,126,0,0,0,4255.704499998956,4.5977044999999634,26520
P03_WHITE_T_take_0001,182,66,116,116,0,0,0,3838.901700004044,4.163088799999969,22812
P03_WHITE_T_take_0002,182,45,137,137,0,0,0,4533.466400002453,4.931548000000021,26504
P03_WHITE_T_take_0003,181,58,123,123,0,0,0,4138.866100000087,4.488099799999873,27164
P03_WHITE_T_take_0004,181,60,121,121,0,0,0,4035.4030999974384,4.38774710000007,26520
P03_WHITE_T_take_0005,182,57,125,125,0,0,0,4213.993400000618,4.584229900000082,23684
P03_WHITE_T_take_0006,182,54,128,128,0,0,0,4276.314699999148,4.6248593000000255,23020
P03_WHITE_T_take_0007,181,56,125,125,0,0,0,4281.299199999012,4.64385349999975,22812
P03_WHITE_T_take_0008,182,36,146,146,0,0,0,5084.52559999705,5.531986800000141,5692
P03_WHITE_T_take_0009,182,63,119,119,0,0,0,4106.6968000022825,4.473861500000112,18664
P03_WHITE_T_take_0010,182,49,133,133,0,0,0,4464.677499999198,4.858042900000328,30392
P03_WHITE_U_take_0001,169,50,119,119,0,0,0,4188.743799999429,4.48815519999971,13740
P03_WHITE_U_take_0002,175,53,122,122,0,0,0,4408.384799998203,4.921189499999855,30392
P03_WHITE_U_take_0003,178,72,106,106,0,0,0,3700.639200002115,4.035798399999749,13740
